entry_time,exit_time,direction,volume,pnl,reason
2025-05-12T14:00:00+00:00,2025-05-12T14:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-15T11:15:00+00:00,2025-05-15T12:45:00+00:00,-1,0.0001,-0.11069338420257119,stop
2025-05-16T13:15:00+00:00,2025-05-16T14:45:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-23T11:45:00+00:00,2025-05-23T12:00:00+00:00,1,0.0001,0.1616952798098935,target
2025-05-23T14:15:00+00:00,2025-05-23T19:00:00+00:00,1,0.0001,0.16488425943259863,stop
2025-06-02T08:45:00+00:00,2025-06-02T09:30:00+00:00,1,0.0001,-0.08566485473161557,stop
2025-06-11T11:15:00+00:00,2025-06-11T12:00:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-06-27T10:30:00+00:00,2025-06-27T12:30:00+00:00,-1,0.0001,0.15926104887999082,target
2025-06-27T14:15:00+00:00,2025-06-27T17:45:00+00:00,-1,0.0001,-0.1069581800820317,stop
2025-07-07T08:45:00+00:00,2025-07-07T09:45:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-07-07T12:30:00+00:00,2025-07-07T12:30:00+00:00,-1,0.0001,-0.07456916662629574,stop
2025-08-28T13:15:00+00:00,2025-08-28T13:45:00+00:00,1,0.0002,0.2182641813538554,target
2025-09-01T10:15:00+00:00,2025-09-01T14:30:00+00:00,1,0.0001,0.037436076582945864,stop
2025-09-02T08:15:00+00:00,2025-09-02T08:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-09-05T14:45:00+00:00,2025-09-05T16:30:00+00:00,1,0.0001,0.13104821891530427,stop
2025-09-12T08:30:00+00:00,2025-09-12T08:45:00+00:00,1,0.0002,-0.11136816054756891,stop
2025-09-23T12:30:00+00:00,2025-09-23T13:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-09-29T10:15:00+00:00,2025-09-29T11:30:00+00:00,1,0.0001,0.18049772230036235,target
2025-09-29T13:15:00+00:00,2025-09-29T14:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-01T09:45:00+00:00,2025-10-01T11:30:00+00:00,1,0.0001,-0.09537124980962126,stop
2025-10-08T09:45:00+00:00,2025-10-08T10:15:00+00:00,1,0.0001,0.041074414363826514,stop
2025-10-08T11:45:00+00:00,2025-10-08T12:15:00+00:00,1,0.0001,0.04139314429777806,stop
2025-10-13T12:15:00+00:00,2025-10-13T13:30:00+00:00,1,0.0001,0.10711795005972526,stop
2025-10-15T12:45:00+00:00,2025-10-15T13:00:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-11-04T08:15:00+00:00,2025-11-04T12:15:00+00:00,-1,0.0001,0.011520000000002075,time_exit
2025-11-13T09:45:00+00:00,2025-11-13T10:30:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-11-19T13:30:00+00:00,2025-11-19T13:45:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-05T08:45:00+00:00,2025-12-05T09:15:00+00:00,1,0.0002,-0.14502618171471696,stop
2025-12-05T09:30:00+00:00,2025-12-05T11:00:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-15T10:15:00+00:00,2025-12-15T11:00:00+00:00,1,0.0001,-0.07850632594393865,stop
2025-12-22T15:30:00+00:00,2025-12-22T16:15:00+00:00,1,0.0001,0.2153974363999594,target
2025-12-23T09:30:00+00:00,2025-12-23T12:00:00+00:00,1,0.0001,0.043002520364395246,stop
