entry_time,exit_time,direction,volume,pnl,reason
2025-05-12T12:00:00+00:00,2025-05-12T13:00:00+00:00,-1,0.0001,-0.14029737020396008,stop
2025-05-13T05:30:00+00:00,2025-05-13T06:00:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-14T02:45:00+00:00,2025-05-14T05:45:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-14T23:30:00+00:00,2025-05-15T00:30:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-16T11:00:00+00:00,2025-05-16T11:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-22T01:30:00+00:00,2025-05-22T01:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-05-22T05:00:00+00:00,2025-05-22T05:45:00+00:00,1,0.0001,-0.07311789014007737,stop
2025-05-23T00:00:00+00:00,2025-05-23T00:00:00+00:00,1,0.0002,-0.13078079202886003,stop
2025-05-23T11:00:00+00:00,2025-05-23T11:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-05-26T01:45:00+00:00,2025-05-26T03:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-05-26T11:00:00+00:00,2025-05-26T12:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-05-27T00:00:00+00:00,2025-05-27T00:15:00+00:00,1,0.0003,-0.005099999999997272,stop
2025-05-27T00:30:00+00:00,2025-05-27T01:15:00+00:00,1,0.0001,-0.04987213973246362,stop
2025-05-29T19:00:00+00:00,2025-05-29T22:45:00+00:00,1,0.0001,-0.07864165180704569,stop
2025-05-29T23:15:00+00:00,2025-05-30T01:45:00+00:00,1,0.0001,-0.0582130000027275,stop
2025-06-02T06:00:00+00:00,2025-06-02T06:15:00+00:00,1,0.0002,0.26615776559849436,target
2025-06-02T06:30:00+00:00,2025-06-02T07:00:00+00:00,1,0.0001,0.14836112853608646,target
2025-06-02T07:15:00+00:00,2025-06-02T07:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-02T19:15:00+00:00,2025-06-02T23:30:00+00:00,1,0.0001,0.033691235278276326,stop
2025-06-02T23:45:00+00:00,2025-06-03T00:00:00+00:00,1,0.0002,-0.12220023878977045,stop
2025-06-03T11:15:00+00:00,2025-06-03T12:00:00+00:00,1,0.0001,-0.06778056501169268,stop
2025-06-04T01:15:00+00:00,2025-06-04T01:45:00+00:00,1,0.0002,0.2641588294079007,target
2025-06-04T06:30:00+00:00,2025-06-04T07:45:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-06-04T18:30:00+00:00,2025-06-04T19:15:00+00:00,1,0.0001,-0.07395279150794815,stop
2025-06-05T00:30:00+00:00,2025-06-05T00:30:00+00:00,1,0.0002,-0.11322320226273987,stop
2025-06-05T00:45:00+00:00,2025-06-05T01:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-06T05:00:00+00:00,2025-06-06T05:30:00+00:00,1,0.0002,-0.12472362641595865,stop
2025-06-06T05:45:00+00:00,2025-06-06T06:30:00+00:00,1,0.0001,-0.06302247945259588,stop
2025-06-11T11:45:00+00:00,2025-06-11T12:00:00+00:00,1,0.0002,-0.13647141681401664,stop
2025-06-11T12:15:00+00:00,2025-06-11T12:30:00+00:00,1,0.0001,0.14147897674269808,target
2025-06-11T12:45:00+00:00,2025-06-11T12:45:00+00:00,1,0.0001,-0.09472790068754258,stop
2025-06-12T00:00:00+00:00,2025-06-12T01:30:00+00:00,1,0.0001,0.040233495495592075,stop
2025-06-12T01:45:00+00:00,2025-06-12T05:00:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-12T05:15:00+00:00,2025-06-12T06:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-13T00:45:00+00:00,2025-06-13T01:00:00+00:00,1,0.0001,0.18856462812251884,target
2025-06-13T01:15:00+00:00,2025-06-13T01:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-16T06:00:00+00:00,2025-06-16T06:15:00+00:00,1,0.0001,-0.083994075227509,stop
2025-06-24T16:00:00+00:00,2025-06-24T19:30:00+00:00,-1,0.0001,-0.1070155507251986,stop
2025-06-25T03:15:00+00:00,2025-06-25T05:30:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-06-25T06:15:00+00:00,2025-06-25T07:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-06-26T00:30:00+00:00,2025-06-26T01:45:00+00:00,-1,0.0003,-0.005099999999997272,stop
2025-06-26T23:00:00+00:00,2025-06-27T00:45:00+00:00,-1,0.0001,0.024893288862241937,stop
2025-06-27T01:00:00+00:00,2025-06-27T01:15:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-06-27T01:30:00+00:00,2025-06-27T02:45:00+00:00,-1,0.0001,0.11572499773156941,target
2025-06-27T03:00:00+00:00,2025-06-27T03:45:00+00:00,-1,0.0002,0.2484309769966454,target
2025-06-27T04:00:00+00:00,2025-06-27T06:45:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-06-29T22:45:00+00:00,2025-06-30T01:15:00+00:00,-1,0.0001,-0.09832525379161162,stop
2025-06-30T07:00:00+00:00,2025-06-30T09:30:00+00:00,-1,0.0001,0.13029167515848877,target
2025-06-30T09:45:00+00:00,2025-06-30T12:00:00+00:00,-1,0.0002,0.06908199774159912,stop
2025-06-30T12:15:00+00:00,2025-06-30T12:30:00+00:00,-1,0.0002,-0.1369006282298382,stop
2025-07-03T22:15:00+00:00,2025-07-03T22:45:00+00:00,-1,0.0003,-0.1304510826936208,stop
2025-07-04T00:00:00+00:00,2025-07-04T00:15:00+00:00,-1,0.0003,0.053739796151171866,stop
2025-07-04T10:15:00+00:00,2025-07-04T12:45:00+00:00,-1,0.0003,-0.005099999999997272,stop
2025-07-04T13:00:00+00:00,2025-07-04T14:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
