entry_time,exit_time,direction,volume,pnl,reason
2025-05-16T14:30:00+00:00,2025-05-16T14:45:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-05-23T11:30:00+00:00,2025-05-23T11:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-06-11T12:30:00+00:00,2025-06-11T12:30:00+00:00,1,0.0001,0.15118547840393767,target
2025-06-11T13:15:00+00:00,2025-06-11T13:45:00+00:00,1,0.0001,-0.11579347049078771,stop
2025-06-24T16:30:00+00:00,2025-06-24T19:30:00+00:00,-1,0.0001,-0.09834478608447918,stop
2025-06-27T10:30:00+00:00,2025-06-27T12:30:00+00:00,-1,0.0001,0.15926104887999082,target
2025-06-27T14:15:00+00:00,2025-06-27T17:45:00+00:00,-1,0.0001,-0.1069581800820317,stop
2025-07-07T08:45:00+00:00,2025-07-07T09:45:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-07-07T10:00:00+00:00,2025-07-07T10:45:00+00:00,-1,0.0001,0.06601506622752076,stop
2025-07-07T12:30:00+00:00,2025-07-07T12:30:00+00:00,-1,0.0002,-0.1491383332525915,stop
2025-07-09T08:15:00+00:00,2025-07-09T09:15:00+00:00,-1,0.0002,-0.0033999999999981814,stop
2025-07-09T11:30:00+00:00,2025-07-09T12:00:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-07-15T08:45:00+00:00,2025-07-15T10:30:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-07-18T14:00:00+00:00,2025-07-18T18:00:00+00:00,1,0.0002,-0.11290510129322356,stop
2025-07-21T08:30:00+00:00,2025-07-21T10:15:00+00:00,1,0.0003,-0.005099999999997272,stop
2025-08-22T08:45:00+00:00,2025-08-22T12:15:00+00:00,-1,0.0003,-0.005099999999997272,stop
2025-08-28T10:30:00+00:00,2025-08-28T11:30:00+00:00,1,0.0003,0.2437561606093144,target
2025-08-28T13:30:00+00:00,2025-08-28T14:15:00+00:00,1,0.0002,0.05570311352857389,stop
2025-09-12T10:15:00+00:00,2025-09-12T11:15:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-09-22T13:00:00+00:00,2025-09-22T13:45:00+00:00,1,0.0001,-0.07530581953528619,stop
2025-09-23T15:15:00+00:00,2025-09-23T16:30:00+00:00,1,0.0001,-0.09979276066510757,stop
2025-09-29T08:15:00+00:00,2025-09-29T12:15:00+00:00,1,0.0001,0.05073046756977583,stop
2025-09-29T13:15:00+00:00,2025-09-29T14:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-06T10:00:00+00:00,2025-10-06T10:45:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-08T11:00:00+00:00,2025-10-08T12:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-13T12:15:00+00:00,2025-10-13T13:30:00+00:00,1,0.0001,0.10711795005972526,stop
2025-10-15T10:15:00+00:00,2025-10-15T12:15:00+00:00,1,0.0001,-0.1469719569047022,stop
2025-11-10T16:15:00+00:00,2025-11-10T18:30:00+00:00,1,0.0001,0.17385562360568366,stop
2025-11-11T08:15:00+00:00,2025-11-11T10:30:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-11-13T11:15:00+00:00,2025-11-13T13:00:00+00:00,1,0.0001,0.06095810898273776,stop
2025-11-19T13:30:00+00:00,2025-11-19T13:45:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-11-25T10:15:00+00:00,2025-11-25T12:30:00+00:00,1,0.0001,-0.12870557242063407,stop
2025-11-28T14:00:00+00:00,2025-11-28T14:30:00+00:00,1,0.0001,0.21355698680249297,target
2025-12-03T15:30:00+00:00,2025-12-03T15:45:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-05T09:30:00+00:00,2025-12-05T11:00:00+00:00,1,0.0002,-0.0034000000000072757,stop
2025-12-05T11:15:00+00:00,2025-12-05T13:00:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-15T10:15:00+00:00,2025-12-15T11:00:00+00:00,1,0.0001,-0.07850632594393865,stop
2025-12-17T12:30:00+00:00,2025-12-17T13:30:00+00:00,1,0.0001,0.1671618035492127,target
2025-12-17T14:30:00+00:00,2025-12-17T15:15:00+00:00,1,0.0001,0.05644387186334534,stop
2025-12-22T12:30:00+00:00,2025-12-22T13:00:00+00:00,1,0.0002,0.28834342184648776,target
2025-12-22T15:30:00+00:00,2025-12-22T16:15:00+00:00,1,0.0001,0.2153974363999594,target
