entry_time,exit_time,direction,volume,pnl,reason
2025-05-23T12:00:00+00:00,2025-05-23T12:45:00+00:00,1,0.0001,0.046318368527296844,stop
2025-06-02T13:45:00+00:00,2025-06-02T15:15:00+00:00,1,0.0001,0.044447563245718635,stop
2025-06-05T11:15:00+00:00,2025-06-05T11:15:00+00:00,1,0.0001,-0.07606653002345702,stop
2025-06-11T12:45:00+00:00,2025-06-11T12:45:00+00:00,1,0.0001,-0.09472790068754258,stop
2025-06-27T12:45:00+00:00,2025-06-27T13:30:00+00:00,-1,0.0001,0.09055802431836746,stop
2025-07-07T10:45:00+00:00,2025-07-07T11:00:00+00:00,-1,0.0002,-0.137019735089922,stop
2025-07-08T14:45:00+00:00,2025-07-08T15:15:00+00:00,-1,0.0001,-0.0016999999999990907,stop
2025-07-18T12:15:00+00:00,2025-07-18T13:30:00+00:00,1,0.0002,-0.10369640005952206,stop
2025-07-21T12:30:00+00:00,2025-07-21T13:30:00+00:00,1,0.0002,0.045757507647061726,stop
2025-07-21T14:30:00+00:00,2025-07-21T15:00:00+00:00,1,0.0002,-0.0033999999999981814,stop
2025-07-22T13:30:00+00:00,2025-07-22T14:00:00+00:00,1,0.0002,-0.12793810551011703,stop
2025-07-28T13:45:00+00:00,2025-07-28T13:45:00+00:00,-1,0.0002,0.2343627079942449,target
2025-07-28T14:00:00+00:00,2025-07-28T14:15:00+00:00,-1,0.0001,-0.07879241435580589,stop
2025-07-30T15:30:00+00:00,2025-07-30T17:45:00+00:00,-1,0.0001,-0.08608688326860212,stop
2025-08-05T14:45:00+00:00,2025-08-05T16:15:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-08-29T14:00:00+00:00,2025-08-29T14:45:00+00:00,1,0.0002,0.22338995984465654,target
2025-08-29T15:00:00+00:00,2025-08-29T17:30:00+00:00,1,0.0002,0.06255115175398132,stop
2025-09-03T14:30:00+00:00,2025-09-03T18:15:00+00:00,1,0.0001,0.11155659606353019,stop
2025-09-05T14:00:00+00:00,2025-09-05T14:15:00+00:00,1,0.0001,-0.11144769108193324,stop
2025-09-08T13:15:00+00:00,2025-09-08T13:30:00+00:00,1,0.0001,-0.07673050204695593,stop
2025-09-15T16:00:00+00:00,2025-09-15T16:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-09-23T09:15:00+00:00,2025-09-23T11:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-06T08:15:00+00:00,2025-10-06T08:30:00+00:00,1,0.0001,-0.10391767082270072,stop
2025-10-08T10:00:00+00:00,2025-10-08T10:15:00+00:00,1,0.0001,-0.09154391238995978,stop
2025-10-13T13:15:00+00:00,2025-10-13T13:30:00+00:00,1,0.0001,-0.0016999999999990907,stop
2025-10-16T16:30:00+00:00,2025-10-16T16:30:00+00:00,1,0.0001,-0.14728434995085374,stop
2025-11-12T16:45:00+00:00,2025-11-12T17:15:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-11-19T15:00:00+00:00,2025-11-19T15:30:00+00:00,1,0.0001,-0.1480961214609244,stop
2025-11-28T14:15:00+00:00,2025-11-28T15:00:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-03T14:00:00+00:00,2025-12-03T14:00:00+00:00,1,0.0001,-0.1033342979342826,stop
2025-12-05T15:30:00+00:00,2025-12-05T15:45:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-11T17:00:00+00:00,2025-12-11T18:45:00+00:00,1,0.0001,-0.0017000000000036378,stop
2025-12-12T08:15:00+00:00,2025-12-12T08:45:00+00:00,1,0.0001,0.1482538258590619,target
2025-12-12T09:15:00+00:00,2025-12-12T09:30:00+00:00,1,0.0001,-0.08942230581478108,stop
2025-12-22T13:15:00+00:00,2025-12-22T13:15:00+00:00,1,0.0001,-0.08206616415787103,stop
